,Unnamed: 0,Charity name,Income,overview,what_it_does,email,website
6,61,garfield weston foundation,84004000,"the garfield weston foundation is a family-founded, charitable grant-making foundation. privately funded, it supports a wide range of charities across the uk. from small community groups to large national institutions, the foundation aims to support organisations with effective solutions to helping those most in need.  we accept applications all year round. see more at garfieldweston.org",general charitable purposes,admin@garfieldweston.org,www.garfieldweston.org 
18,75,bbc children in need,69928692,"the charity?s objects are to further such exclusively charitable objects and purposes in any part of the united kingdom, the channel islands and the isle of man as the directors may in their discretion think fit and in particular (without prejudice to the generality of the foregoing) to relieve need, hardship, sickness, handicap and distress amongst children and young persons.",general charitable purposes,pudsey@bbc.co.uk,www.bbc.co.uk/pudsey 
175,259,the steel charitable trust,24854643,grants are made to a wide range of charitable bodies and for other charitable purposes as the trustees think fit,general charitable purposes,info@steelcharitabletrust.org.uk,www.steelcharitabletrust.org.uk 
243,337,the pears family charitable foundation,19698907,"pears foundation aims to benefit society by promoting understanding of key issues through research and educational programmes; driving engagement in social progress across the uk, particularly in young people and supporting organisations focused on wellbeing for everyone.",general charitable purposes,contact@pearsfoundation.org.uk,www.pearsfoundation.org.uk 
290,391,the underwood trust,17662733,the  aims of the trust are to fund a wide range of activities that will positively impact individuals and the environment. we award a number of grants per annum to organisations that both share these aspirations and have the ability to deliver on their programmes.,general charitable purposes,michelej@taylorclark.co.uk,www.theunderwoodtrust.org.uk 
312,419,lloyds bank foundation for england & wales,16459118,"to be a leading grant maker supporting and working in partnership with recognised charitable organisations which help people, especially those who are disadvantaged or disabled, to play a fuller role in communities throughout england and wales.",general charitable purposes,enquiries@lloydsbankfoundation.org.uk,www.lloydsbankfoundation.org.uk 
345,457,children with cancer uk,14844449,"our main aims are to understand what causes children to develop cancer, to develop improved treatments and to provide care for affected children and their families.  it is the trustees policy to maximise the proportion of charitable output that is achieved through grant making to organisations.  it is intended that the charity will focus on revenue funding for research into causes and treatment.",general charitable purposes,info@childrenwithcancer.org.uk,www.childrenwithcancer.org.uk 
393,523,kidney research uk,12773000,to fund and deliver life-saving research into kidney diseases. to improve treatments for people with kidney diseases and enhance their quality of life and to increase awareness of kidney health.,general charitable purposes,enquiries@kidneyresearchuk.org,www.kidneyresearchuk.org 
425,567,the virgin foundation,11949000,virgin unite was established by richard branson and staff across the virgin group to deliver entrepreneurial approaches to social and environmental issues. virgin unite works with all the virgin companies around the world in partnership with social entrepreneurs to build sustainable solutions to some of thoughest challenges facing the world today.,general charitable purposes,contact@virginunite.co.uk,www.virgin.com/unite 
485,643,the grand charity,10567000,the freemasons grand charity is the central grant-giving charity of all english constitution freemasons.  its objects are very broad and give discretion to the council to determine charitable policies.  the two primary activities are 1. grants: for masons or their dependants; other masonic charities & non-masonic charities. 2. managing the relief chest scheme.,general charitable purposes,info@mcf.org.uk,www.mcf.org.uk 
